ticker,name,kind,exchange,benchmark
PAYX,Paychex,stock,,
PYPL,PayPal,stock,,
PNR,Pentair,stock,,
PEP,PepsiCo,stock,,
PFE,Pfizer,stock,,
PCG,PG&E Corporation,stock,,
PM,Philip Morris International,stock,,
PSX,Phillips 66,stock,,
PNW,Pinnacle West Capital,stock,,
PNC,PNC Financial Services,stock,,
POOL,Pool Corporation,stock,,
PPG,PPG Industries,stock,,
PPL,PPL Corporation,stock,,
PFG,Principal Financial Group,stock,,
PG,Procter & Gamble,stock,,
PGR,Progressive Corporation,stock,,
PLD,Prologis,stock,,
PRU,Prudential Financial,stock,,
PEG,Public Service Enterprise Group,stock,,
PTC,PTC Inc.,stock,,
PSA,Public Storage,stock,,
PHM,PulteGroup,stock,,
PWR,Quanta Services,stock,,
QCOM,Qualcomm,stock,,
DGX,Quest Diagnostics,stock,,
Q,Qnity Electronics,stock,,
RL,Ralph Lauren Corporation,stock,,
RJF,Raymond James Financial,stock,,
RTX,RTX Corporation,stock,,
O,Realty Income,stock,,
REG,Regency Centers,stock,,
REGN,Regeneron Pharmaceuticals,stock,,
RF,Regions Financial Corporation,stock,,
RSG,Republic Services,stock,,
RMD,ResMed,stock,,
RVTY,Revvity,stock,,
HOOD,Robinhood Markets,stock,,
ROK,Rockwell Automation,stock,,
ROL,"Rollins, Inc.",stock,,
ROP,Roper Technologies,stock,,
ROST,Ross Stores,stock,,
RCL,Royal Caribbean Group,stock,,
SPGI,S&P Global,stock,,
CRM,Salesforce,stock,,
SNDK,Sandisk,stock,,
SBAC,SBA Communications,stock,,
SLB,Schlumberger,stock,,
STX,Seagate Technology,stock,,
SRE,Sempra,stock,,
NOW,ServiceNow,stock,,
SHW,Sherwin-Williams,stock,,
SPG,Simon Property Group,stock,,
SWKS,Skyworks Solutions,stock,,
SJM,J.M. Smucker Company (The),stock,,
SW,Smurfit Westrock,stock,,
SNA,Snap-on,stock,,
SOLV,Solventum,stock,,
SO,Southern Company,stock,,
LUV,Southwest Airlines,stock,,
SWK,Stanley Black & Decker,stock,,
SBUX,Starbucks,stock,,
STT,State Street Corporation,stock,,
STLD,Steel Dynamics,stock,,
STE,Steris,stock,,
SYK,Stryker Corporation,stock,,
SMCI,Supermicro,stock,,
SYF,Synchrony Financial,stock,,
SNPS,Synopsys,stock,,
SYY,Sysco,stock,,
TMUS,T-Mobile US,stock,,
TROW,T. Rowe Price,stock,,
TTWO,Take-Two Interactive,stock,,
TPR,"Tapestry, Inc.",stock,,
TRGP,Targa Resources,stock,,
TGT,Target Corporation,stock,,
TEL,TE Connectivity,stock,,
